Employee ID,Year,Quarter,Current Employee Rating,Employee_Name
1,2026,Q1,3.37,Uriah Bridges
2,2026,Q1,2.81,Paula Small
3,2024,Q2,1.4,Edward Buck
4,2024,Q1,4.65,Michael Riordan
5,2023,Q4,2.06,Jasmine Onque
6,2024,Q3,4.05,Maruk Fraval
7,2025,Q1,1.54,Latia Costa
8,2022,Q3,2.84,Sharlene Terry
9,2025,Q1,4.39,Jac McKinzie
10,2026,Q4,1.59,Joseph Martins
11,2024,Q4,3.58,Myriam Givens
12,2026,Q2,2.97,Dheepa Nguyen
13,2022,Q3,3.31,Bartholemew Khemmich
14,2025,Q3,1.06,Xana Potts
15,2025,Q1,1.65,Prater Jeremy
16,2024,Q3,2.07,Kaylah Moon
17,2023,Q3,3.84,Kristen Tate
18,2026,Q4,4.49,Bobby Rodgers
19,2025,Q1,1.94,Reid Park
20,2025,Q4,2.14,Hector Dalton
21,2024,Q2,1.35,Mariela Schultz
22,2022,Q2,1.48,Angela Molina
23,2023,Q1,4.82,Gerald Preston
24,2024,Q1,2.35,Reilly Moyer
25,2023,Q4,4.53,Carlee French
26,2023,Q1,2.76,Jaydon Blackburn
27,2025,Q4,4.8,Bridger Carter
28,2025,Q3,2.46,Leon Beard
29,2023,Q1,1.39,Charity Miranda
30,2023,Q2,4.82,Axel Howe
31,2026,Q3,1.12,Milton Wall
32,2025,Q3,1.76,Cory Robinson
33,2024,Q2,2.44,Saniya Yu
34,2025,Q3,3.04,Alisa James
35,2022,Q2,2.43,Lincoln Compton
36,2024,Q1,3.13,Aliana Nolan
37,2023,Q2,2.15,Kayden Dodson
38,2024,Q4,2.84,James Duke
39,2023,Q1,4.67,Willow Stuart
40,2023,Q2,2.18,Clayton Walker
41,2026,Q2,4.43,Celia Curtis
42,2022,Q4,3.02,Valentin Reilly
43,2026,Q4,4.04,Ryland Shepherd
44,2025,Q1,4.19,Esteban Gilbert
45,2025,Q4,2.13,Jonathan Adkins
46,2024,Q3,3.77,Nevaeh Soto
47,2024,Q2,4.73,Chaim Mata
48,2023,Q1,3.58,Arely Patton
49,2022,Q4,3.72,Vance Trujillo
50,2024,Q2,2.14,Charlie Koch
51,2025,Q1,2.41,Sonny Horne
52,2026,Q3,1.74,Thomas Chandler
53,2025,Q1,1.25,Sarai Stone
54,2024,Q4,2.45,Jerimiah Harmon
55,2023,Q3,3.64,Leland Allen
